,不良(101-199)(站日),縣市,時間
803,11,嘉義縣,
804,1,嘉義市,
805,10,臺南市,
806,75,高雄市,
807,30,屏東縣,
808,0,宜蘭縣,
809,0,花蓮縣,
810,1,臺東縣,
811,8,金門縣,
812,0,連江縣,
813,0,澎湖縣,
814,0,臺北市,2013年 2月
815,0,新北市,
816,0,桃園市,
817,0,基隆市,
818,0,新竹縣,
819,0,新竹市,
820,0,苗栗縣,
821,0,臺中市,
822,0,彰化縣,
823,0,南投縣,
824,0,雲林縣,
825,0,嘉義縣,
826,0,嘉義市,
827,0,臺南市,
828,4,高雄市,
829,0,屏東縣,
830,0,宜蘭縣,
831,0,花蓮縣,
832,0,臺東縣,
833,0,金門縣,
834,0,連江縣,
835,0,澎湖縣,
836,0,臺北市,2013年 3月
837,0,新北市,
838,0,桃園市,
839,0,基隆市,
840,0,新竹縣,
841,0,新竹市,
842,0,苗栗縣,
843,0,臺中市,
844,0,彰化縣,
845,0,南投縣,
846,0,雲林縣,
847,0,嘉義縣,
848,0,嘉義市,
849,0,臺南市,
850,2,高雄市,
851,0,屏東縣,
852,0,宜蘭縣,
853,0,花蓮縣,
854,0,臺東縣,
855,0,金門縣,
856,0,連江縣,
857,0,澎湖縣,
858,1,臺北市,2013年 4月
859,1,新北市,
860,0,桃園市,
861,0,基隆市,
862,0,新竹縣,
863,0,新竹市,
864,0,苗栗縣,
865,0,臺中市,
866,0,彰化縣,
867,0,南投縣,
868,0,雲林縣,
869,0,嘉義縣,
870,0,嘉義市,
871,1,臺南市,
872,7,高雄市,
873,4,屏東縣,
874,0,宜蘭縣,
875,0,花蓮縣,
876,0,臺東縣,
877,1,金門縣,
878,0,連江縣,
879,0,澎湖縣,
880,0,臺北市,2013年 5月
881,2,新北市,
882,0,桃園市,
883,0,基隆市,
884,0,新竹縣,
885,0,新竹市,
886,0,苗栗縣,
887,0,臺中市,
888,1,彰化縣,
889,0,南投縣,
890,0,雲林縣,
891,0,嘉義縣,
892,0,嘉義市,
893,0,臺南市,
894,2,高雄市,
895,0,屏東縣,
896,0,宜蘭縣,
897,0,花蓮縣,
898,0,臺東縣,
899,1,金門縣,
900,0,連江縣,
901,0,澎湖縣,
902,6,臺北市,2013年 6月
903,5,新北市,
904,0,桃園市,
905,0,基隆市,
906,1,新竹縣,
907,0,新竹市,
908,0,苗栗縣,
909,0,臺中市,
910,0,彰化縣,
911,0,南投縣,
912,1,雲林縣,
913,0,嘉義縣,
914,0,嘉義市,
915,1,臺南市,
916,9,高雄市,
917,6,屏東縣,
918,0,宜蘭縣,
919,0,花蓮縣,
920,0,臺東縣,
921,2,金門縣,
922,0,連江縣,
923,0,澎湖縣,
924,3,臺北市,2013年 7月
925,5,新北市,
926,0,桃園市,
927,0,基隆市,
928,0,新竹縣,
929,0,新竹市,
930,0,苗栗縣,
931,1,臺中市,
932,0,彰化縣,
933,0,南投縣,
934,0,雲林縣,
935,0,嘉義縣,
936,0,嘉義市,
937,0,臺南市,
938,2,高雄市,
939,1,屏東縣,
940,0,宜蘭縣,
941,0,花蓮縣,
942,1,臺東縣,
943,0,金門縣,
944,0,連江縣,
945,0,澎湖縣,
946,1,臺北市,2013年 8月
947,2,新北市,
948,1,桃園市,
949,0,基隆市,
950,0,新竹縣,
951,0,新竹市,
952,0,苗栗縣,
953,0,臺中市,
954,0,彰化縣,
955,0,南投縣,
956,0,雲林縣,
957,0,嘉義縣,
958,0,嘉義市,
959,0,臺南市,
960,1,高雄市,
961,0,屏東縣,
962,0,宜蘭縣,
963,0,花蓮縣,
964,0,臺東縣,
965,0,金門縣,
966,0,連江縣,
967,0,澎湖縣,
968,0,臺北市,2013年 9月
969,3,新北市,
970,0,桃園市,
971,0,基隆市,
972,0,新竹縣,
973,0,新竹市,
974,0,苗栗縣,
975,0,臺中市,
976,0,彰化縣,
977,0,南投縣,
978,0,雲林縣,
979,0,嘉義縣,
980,0,嘉義市,
981,0,臺南市,
982,0,高雄市,
983,0,屏東縣,
984,0,宜蘭縣,
985,0,花蓮縣,
986,0,臺東縣,
987,1,金門縣,
988,0,連江縣,
989,0,澎湖縣,
990,4,臺北市,2013年 10月
991,2,新北市,
992,0,桃園市,
993,0,基隆市,
994,1,新竹縣,
995,0,新竹市,
996,0,苗栗縣,
997,5,臺中市,
998,1,彰化縣,
999,2,南投縣,
1000,4,雲林縣,
1001,1,嘉義縣,
1002,0,嘉義市,
1003,4,臺南市,
1004,10,高雄市,
1005,4,屏東縣,
1006,0,宜蘭縣,
1007,0,花蓮縣,
1008,0,臺東縣,
1009,0,金門縣,
1010,0,連江縣,
1011,0,澎湖縣,
1012,0,臺北市,2013年 11月
1013,1,新北市,
1014,1,桃園市,
1015,0,基隆市,
1016,0,新竹縣,
1017,0,新竹市,
1018,0,苗栗縣,
1019,6,臺中市,
1020,1,彰化縣,
1021,3,南投縣,
1022,0,雲林縣,
1023,8,嘉義縣,
1024,1,嘉義市,
1025,3,臺南市,
1026,13,高雄市,
1027,10,屏東縣,
1028,0,宜蘭縣,
1029,0,花蓮縣,
1030,0,臺東縣,
1031,0,金門縣,
1032,0,連江縣,
1033,0,澎湖縣,
1034,2,臺北市,2013年 12月
1035,1,新北市,
1036,0,桃園市,
1037,0,基隆市,
1038,0,新竹縣,
1039,0,新竹市,
1040,0,苗栗縣,
1041,1,臺中市,
1042,0,彰化縣,
1043,2,南投縣,
1044,1,雲林縣,
1045,1,嘉義縣,
1046,0,嘉義市,
1047,1,臺南市,
1048,15,高雄市,
1049,4,屏東縣,
1050,0,宜蘭縣,
1051,0,花蓮縣,
1052,0,臺東縣,
1053,1,金門縣,
1054,0,連江縣,
1055,0,澎湖縣,
1056,9,臺北市,2014年 1月
1057,14,新北市,
1058,4,桃園市,
1059,0,基隆市,
1060,4,新竹縣,
1061,0,新竹市,
1062,0,苗栗縣,
1063,17,臺中市,
1064,3,彰化縣,
1065,9,南投縣,
1066,16,雲林縣,
1067,30,嘉義縣,
1068,6,嘉義市,
1069,45,臺南市,
1070,107,高雄市,
1071,43,屏東縣,
1072,0,宜蘭縣,
1073,0,花蓮縣,
1074,1,臺東縣,
1075,17,金門縣,
1076,7,連江縣,
1077,0,澎湖縣,
1078,0,臺北市,2014年 2月
1079,0,新北市,
1080,0,桃園市,
1081,0,基隆市,
1082,0,新竹縣,
1083,0,新竹市,
1084,0,苗栗縣,
1085,0,臺中市,
1086,0,彰化縣,
1087,0,南投縣,
1088,1,雲林縣,
1089,4,嘉義縣,
1090,0,嘉義市,
1091,2,臺南市,
1092,20,高雄市,
1093,4,屏東縣,
1094,0,宜蘭縣,
1095,0,花蓮縣,
1096,0,臺東縣,
1097,3,金門縣,
1098,1,連江縣,
1099,0,澎湖縣,
1100,0,臺北市,2014年 3月
1101,0,新北市,
1102,0,桃園市,
1103,0,基隆市,
1104,0,新竹縣,
1105,0,新竹市,
1106,0,苗栗縣,
1107,1,臺中市,
1108,1,彰化縣,
1109,2,南投縣,
1110,2,雲林縣,
1111,5,嘉義縣,
1112,1,嘉義市,
1113,6,臺南市,
1114,9,高雄市,
1115,4,屏東縣,
1116,0,宜蘭縣,
1117,0,花蓮縣,
1118,0,臺東縣,
1119,1,金門縣,
1120,0,連江縣,
1121,0,澎湖縣,
1122,0,臺北市,2014年 4月
1123,2,新北市,
1124,0,桃園市,
1125,0,基隆市,
1126,0,新竹縣,
1127,0,新竹市,
1128,0,苗栗縣,
1129,0,臺中市,
1130,0,彰化縣,
1131,0,南投縣,
1132,0,雲林縣,
1133,0,嘉義縣,
1134,0,嘉義市,
1135,0,臺南市,
1136,4,高雄市,
1137,0,屏東縣,
1138,0,宜蘭縣,
1139,0,花蓮縣,
1140,0,臺東縣,
1141,4,金門縣,
1142,1,連江縣,
1143,0,澎湖縣,
1144,0,臺北市,2014年 5月
1145,1,新北市,
1146,0,桃園市,
1147,0,基隆市,
1148,0,新竹縣,
1149,0,新竹市,
1150,0,苗栗縣,
1151,0,臺中市,
1152,0,彰化縣,
1153,0,南投縣,
1154,0,雲林縣,
1155,0,嘉義縣,
1156,0,嘉義市,
1157,0,臺南市,
1158,2,高雄市,
1159,1,屏東縣,
1160,0,宜蘭縣,
